,Country,City,Latitude,Longitude,Tempeture,Humidity,Cloudiness,Wind Speed
0,US,Jamestown,42.1,-79.24,36.12,65,90,11.41
1,CF,Ouadda,8.08,22.4,70.12,61,68,3.51
2,GR,Methóni,36.82,21.7,55.51,67,100,4.7
3,IT,Marsala,37.8,12.44,44.62,87,20,8.05
4,CZ,Řevnice,49.91,14.24,35.8,70,51,5.82
5,FR,Plouzané,48.38,-4.62,39.79,93,0,4.7
6,GB,Skegness,53.14,0.34,40.69,65,68,2.24
7,MY,George Town,5.41,100.34,89.11,100,20,3.36
8,CF,Bouar,5.93,15.6,70.9,59,97,4.27
9,DZ,Constantine,36.37,6.61,39.96,93,75,9.17
10,SA,Faya,18.39,42.45,60.64,59,0,4.7
11,LY,Nālūt,30.33,10.85,45.37,59,84,19.26
12,RO,Banloc,45.38,21.14,33.69,80,67,2.24
13,NG,Zaria,11.11,7.72,79.52,32,8,4.36
14,PT,Faro,37.02,-7.93,55.56,77,37,8.05
15,LV,Liepāja,56.54,21.04,32.23,80,100,9.17
16,NA,Ongandjera,-17.88,15.07,71.02,45,5,10.22
17,LY,Ubari,26.59,12.78,69.91,13,0,8.81
18,YE,Marzuq,14.4,46.47,70.38,30,0,3.4
19,NG,Yenagoa,4.92,6.26,88.59,87,98,5.68
20,GR,Lixouri,38.2,20.43,42.75,78,100,8.01
21,GR,Kallíthiro,39.28,21.91,37.35,100,90,4.47
22,MA,Tiznit Province,29.58,-9.5,59.16,39,69,0.67
23,NA,Opuwo,-18.06,13.84,71.92,36,68,3.98
24,GB,Penzance,50.12,-5.54,45.68,93,32,2.24
25,GB,Whitehaven,54.55,-3.58,40.48,95,99,5.99
26,ML,Taoudenni,22.68,-3.98,74.17,12,0,6.91
27,ML,Araouane,18.9,-3.53,79.3,11,98,10.0
28,GA,Port-Gentil,-0.72,8.78,86.68,84,71,13.35
29,ES,Calella,41.62,2.67,45.86,87,40,7.23
30,CI,Tabou,4.42,-7.35,89.4,86,100,5.19
31,CA,Tobermory,45.25,-81.67,50.79,54,27,1.01
32,GB,Peterhead,57.51,-1.8,34.29,86,75,2.24
33,ES,Mahon,39.89,4.27,43.23,81,0,5.82
34,FR,Arrondissement de Vannes,47.83,-2.5,38.59,75,63,4.7
35,ML,Tessalit,20.2,1.01,74.68,11,26,7.05
36,GH,Esim,4.87,-2.24,87.85,84,85,8.77
37,AO,Huambo,-12.78,15.74,60.26,59,100,1.43
38,FR,Saint-Gilles,43.68,4.43,45.23,46,0,5.82
39,CM,Sangmélima,2.93,11.98,72.73,79,98,7.09
40,IL,Kiryat Gat,31.61,34.76,56.71,59,32,3.36
41,ZW,Binga,-17.62,27.34,71.08,61,14,2.48
42,NE,Bilma,18.69,12.92,80.69,14,0,3.09
43,DE,Spremberg,51.57,14.37,37.33,70,75,1.12
44,GH,Mpraeso,6.59,-0.73,79.27,77,76,6.91
45,AO,Menongue,-14.66,17.69,62.96,63,100,5.46
46,GA,Mayumba,-3.43,10.66,86.77,86,61,8.14
47,FR,Bellegarde-sur-Valserine,46.11,5.82,37.18,72,6,5.82
